name,mad,job_name,alpha,unique_num,metal,smi_num,eqlig,axlig1,axlig2,eq_con,ax_con1,ax_con2,ligcharge,oxstate,spinmult,flag_oct_loose,flag_conv,geo_use,ss_use,ss_label,ss_del,ss_target,ss_actual,flag_oct,flag_list,flag_init,flag_list_init,num_coord_metal,rmsd_max,oct_angle_devi_max,max_del_sig_angle,dist_del_eq,dist_del_all,devi_linear_avrg,devi_linear_max
co_3_eq_[C]#[CH-]_ax1_[C]#[CH-]_ax2_[C]#[CH-]_ahf_20_5,chargedMono,gen_0_slot_199_3_3_87_87_87_20_5,20,199,co,3_87_87_87,[C]#[CH-],[C]#[CH-],[C]#[CH-],-1,-1,-1,-6,3,5,1,1,1,1,1,0.011970999999999999,6.0,6.011971,1,None,1,None,6,0.015390172,0.749403068,1.658647545,0.000534676,0.023627111,0.427545597,0.607615337
fe_2_eq_[N]-[P]=[P]-[N]_ax1_[N]-[P]=[P]-[N]_ax2_[N]-[P]=[P]-[N]_ahf_20_5,neutralBi,gen_0_slot_284_2_2_49_49_49_20_5,20,284,fe,2_49_49_49,[N]-[P]=[P]-[N],[N]-[P]=[P]-[N],[N]-[P]=[P]-[N],-1,-1,-1,0,2,5,0,1,1,1,1,0.022425,6.0,6.022425,0,rmsd_max,1,None,6,lig_mismatch,0.61933056,1.078178289,0.001265055,0.004220861,1.1203066,1.734370564
mn_3_eq_[N+]=[OH-]_ax1_[N+]=[OH-]_ax2_[N+]=[OH-]_ahf_20_5,neutralMono,gen_0_slot_331_1_3_93_93_93_20_5,20,331,mn,1_93_93_93,[N+]=[OH-],[N+]=[OH-],[N+]=[OH-],-1,-1,-1,0,3,5,0,0,1,1,0,2.119311,6.0,8.119311,0,num_coord_metal,1,None,3,-1,-1,-1,-1,-1,-1,-1
mn_2_eq_[PH2]-[CH3]_ax1_[PH2]-[CH3]_ax2_[PH2]-[CH3]_ahf_20_2,neutralMono,gen_0_slot_834_1_2_293_293_293_20_2,20,834,mn,1_293_293_293,[PH2]-[CH3],[PH2]-[CH3],[PH2]-[CH3],-1,-1,-1,0,2,2,1,1,1,1,1,0.033217,0.75,0.783217,1,None,1,None,6,0.007884222,1.351281548,2.031368314,0.003567878,0.010945034,0,0
co_2_eq_[NH]=[OH-]_ax1_[NH]=[OH-]_ax2_[NH]=[OH-]_ahf_20_4,chargedMono,gen_0_slot_350_3_2_154_154_154_20_4,20,350,co,3_154_154_154,[NH]=[OH-],[NH]=[OH-],[NH]=[OH-],-1,-1,-1,-6,2,4,0,0,1,0,0,1.047158,3.75,4.7971580000000005,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
cr_2_eq_[S+]-[NH3-]_ax1_[S+]-[NH3-]_ax2_[S+]-[NH3-]_ahf_20_1,neutralMono,gen_0_slot_944_0_2_328_328_328_20_1,20,944,cr,0_328_328_328,[S+]-[NH3-],[S+]-[NH3-],[S+]-[NH3-],-1,-1,-1,0,2,1,0,1,1,0,1,0.0,0.0,0.0,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
cr_2_eq_[CH2]=[NH2-]_ax1_[CH2]=[NH2-]_ax2_[CH2]=[NH2-]_ahf_20_5,chargedMono,gen_0_slot_120_0_2_65_65_65_20_5,20,120,cr,0_65_65_65,[CH2]=[NH2-],[CH2]=[NH2-],[CH2]=[NH2-],-1,-1,-1,-6,2,5,0,1,1,1,1,0.326899,6.0,6.326899,0,oct_angle_devi_max,1,None,6,0.111560672,12.15577011,22.01553289,0.041940907,0.534749808,0,0
mn_3_eq_[C]#[P-]_ax1_[C]#[P-]_ax2_[C]#[P-]_ahf_20_5,chargedMono,gen_0_slot_211_1_3_90_90_90_20_5,20,211,mn,1_90_90_90,[C]#[P-],[C]#[P-],[C]#[P-],-1,-1,-1,-6,3,5,1,1,1,1,1,0.096682,6.0,6.096682,1,None,1,None,6,0.029175826,0.163635178,0.240129945,0.00122673,0.501160072,0.268780525,0.52332718
mn_2_eq_[P]#[P]_ax1_[P]#[P]_ax2_[P]#[P]_ahf_20_2,neutralMono,gen_0_slot_930_1_2_323_323_323_20_2,20,930,mn,1_323_323_323,[P]#[P],[P]#[P],[P]#[P],-1,-1,-1,0,2,2,1,1,1,1,1,0.089071,0.75,0.8390709999999999,1,None,1,None,6,0.010708927,1.275512867,1.795498445,0.000850784,0.001956452,1.249008753,1.46327302
cr_3_eq_[PH2]-[NH]-[NH]-[PH2]_ax1_[PH2]-[NH]-[NH]-[PH2]_ax2_[PH2]-[NH]-[NH]-[PH2]_ahf_20_4,neutralBi,gen_0_slot_409_0_3_95_95_95_20_4,20,409,cr,0_95_95_95,[PH2]-[NH]-[NH]-[PH2],[PH2]-[NH]-[NH]-[PH2],[PH2]-[NH]-[NH]-[PH2],-1,-1,-1,0,3,4,1,1,1,1,1,0.147317,3.75,3.8973169999999997,1,None,1,None,6,0.072269444,7.764655905,14.07188553,0.012426792,0.020262558,0,0
